Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"Wonen";"Woningtransacties";"Transacties totaal";"aantal";"2018";"Breda";"2659";"Kadaster";"Het aantal transacties van woningen en appartementen die verkocht zijn aan particulieren gedurende de periode.";
"Wonen";"Woningtransacties";"Transacties totaal";"aantal";"2019";"Breda";"2381";"Kadaster";"Het aantal transacties van woningen en appartementen die verkocht zijn aan particulieren gedurende de periode.";
"Wonen";"Woningtransacties";"Transacties totaal";"aantal";"2020";"Breda";"2646";"Kadaster";"Het aantal transacties van woningen en appartementen die verkocht zijn aan particulieren gedurende de periode.";
"Wonen";"Woningtransacties";"Transacties totaal";"aantal";"2021";"Breda";"2606";"Kadaster";"Het aantal transacties van woningen en appartementen die verkocht zijn aan particulieren gedurende de periode.";
"Wonen";"Woningtransacties";"Transacties totaal";"aantal";"2022";"Breda";"2266";"Kadaster";"Het aantal transacties van woningen en appartementen die verkocht zijn aan particulieren gedurende de periode.";
