year,latitude,longitude,cbs_grid_code,date,green_score,livability_score,neighborhood_name,TotalHouses,Population
2018,51.627004526,4.739590493,E1101N4044,2018-09-01,15.333333333333334,2.225562424587656,Overkroeten,83253,3210
2018,51.620748402,4.7332613266,E1097N4037,2018-09-01,33.333333333333336,2.1243618833148226,Overkroeten,83253,3210
2018,51.625012349,4.7409424604,E1102N4042,2018-09-01,38.666666666666664,2.176313804669492,Overkroeten,83253,3210
2018,51.6272729,4.7398388,E1101N4044,2018-09-01,11.666666666666666,2.225562424587656,Overkroeten,83253,3210
2018,51.627386616,4.7401312645,E1101N4044,2018-09-01,13.833333333333334,2.225562424587656,Overkroeten,83253,3210
2018,51.626394082,4.7402059181,E1102N4043,2018-09-01,26.833333333333332,2.218016113397443,Overkroeten,83253,3210
2018,51.545786716,4.7972342126,E1140N3953,2018-09-01,38.0,2.3492503462383523,Ulvenhout,83253,4630
2018,51.549146361,4.8012100135,E1143N3957,2018-09-01,25.5,2.332621381825773,Ulvenhout,83253,4630
2018,51.547126784,4.8080383267,E1148N3955,2018-09-01,31.333333333333332,2.3709029101639425,Ulvenhout,83253,4630
2018,51.546737797,4.8088480544,E1148N3954,2018-09-01,41.333333333333336,2.3240723451892955,Ulvenhout,83253,4630
2018,51.544710134,4.7962987646,E1140N3952,2018-09-01,30.833333333333332,2.3592859088326463,Ulvenhout,83253,4630
2018,51.547280178,4.810176484,E1149N3955,2018-09-01,38.666666666666664,2.362685475479711,Ulvenhout,83253,4630
2018,51.549330243,4.8002204719,E1142N3957,2018-09-01,27.833333333333332,2.330870293185223,Ulvenhout,83253,4630
2018,51.549526044,4.7987973831,E1141N3957,2018-09-01,16.166666666666668,2.2900571699173544,Ulvenhout,83253,4630
2018,51.555664455,4.8001521586,E1142N3964,2018-09-01,43.833333333333336,2.513115162480829,Ulvenhout,83253,4630
2018,51.5472419,4.7982048868,E1141N3955,2018-09-01,19.166666666666668,2.315439098151326,Ulvenhout,83253,4630
2018,51.548817244,4.8033401278,E1145N3957,2018-09-01,25.5,2.3513010209791103,Ulvenhout,83253,4630
2018,51.54871002,4.8033759833,E1145N3956,2018-09-01,28.5,2.358480866555888,Ulvenhout,83253,4630
2018,51.547663408,4.8072545472,E1147N3955,2018-09-01,25.333333333333332,2.376593013038588,Ulvenhout,83253,4630
2018,51.549394011,4.7998668495,E1142N3957,2018-09-01,19.833333333333332,2.330870293185223,Ulvenhout,83253,4630
2018,51.546619831,4.7979289266,E1141N3954,2018-09-01,18.0,2.336654214730563,Ulvenhout,83253,4630
2018,51.5491785,4.8010332484,E1143N3957,2018-09-01,30.5,2.332621381825773,Ulvenhout,83253,4630
2018,51.543425301,4.7954488775,E1139N3951,2018-09-01,38.5,2.3646038804315825,Ulvenhout,83253,4630
2018,51.54825,4.80632,E1147N3956,2018-09-01,23.833333333333332,2.444829088692998,Ulvenhout,83253,4630
2018,51.547002345,4.7980707554,E1141N3955,2018-09-01,17.666666666666668,2.315439098151326,Ulvenhout,83253,4630
2018,51.542246258,4.7950905055,E1139N3949,2018-09-01,17.166666666666668,2.3917017443423045,Ulvenhout,83253,4630
2018,51.541357361,4.7948894342,E1139N3948,2018-09-01,19.0,2.4104636349095427,Ulvenhout,83253,4630
2018,51.54155244,4.7949080571,E1139N3948,2018-09-01,18.666666666666668,2.4104636349095427,Ulvenhout,83253,4630
2018,51.54893317,4.8024493243,E1144N3957,2018-09-01,35.0,2.3261712221637096,Ulvenhout,83253,4630
2018,51.54558805,4.7971833442,E1140N3953,2018-09-01,38.333333333333336,2.3492503462383523,Ulvenhout,83253,4630
2018,51.554543723,4.796394212,E1140N3963,2018-09-01,35.166666666666664,2.3708232866288217,Ulvenhout,83253,4630
2018,51.55224565,4.7968568856,E1140N3960,2018-09-01,18.666666666666668,2.3092582687854666,Ulvenhout,83253,4630
2018,51.54909,4.80152,E1143N3957,2018-09-01,29.166666666666668,2.332621381825773,Ulvenhout,83253,4630
2018,51.547245539,4.8078378452,E1148N3955,2018-09-01,39.0,2.3709029101639425,Ulvenhout,83253,4630
2018,51.555323357,4.7989416575,E1142N3964,2018-09-01,33.5,2.513115162480829,Ulvenhout,83253,4630
2018,51.551201312,4.7976179766,E1141N3959,2018-09-01,8.333333333333334,2.274317065442065,Ulvenhout,83253,4630
2018,51.551750642,4.7987819273,E1141N3960,2018-09-01,24.333333333333332,2.334284521128021,Ulvenhout,83253,4630
2018,51.549051401,4.8017405684,E1143N3957,2018-09-01,26.166666666666668,2.332621381825773,Ulvenhout,83253,4630
2018,51.546311437,4.797746568,E1141N3954,2018-09-01,21.333333333333332,2.336654214730563,Ulvenhout,83253,4630
2018,51.552801837,4.7968510277,E1140N3961,2018-09-01,24.5,2.3568986194957784,Ulvenhout,83253,4630
2018,51.54814,4.7983692,E1141N3956,2018-09-01,31.166666666666668,2.3354406594850485,Ulvenhout,83253,4630
2018,51.545629187,4.7971648584,E1140N3953,2018-09-01,40.0,2.3492503462383523,Ulvenhout,83253,4630
2018,51.541613032,4.7949869776,E1139N3949,2018-09-01,21.833333333333332,2.3917017443423045,Ulvenhout,83253,4630
2018,51.548106462,4.8070092679,E1147N3956,2018-09-01,33.166666666666664,2.444829088692998,Ulvenhout,83253,4630
2018,51.547214337,4.8100095442,E1149N3955,2018-09-01,31.0,2.362685475479711,Ulvenhout,83253,4630
2018,51.544575722,4.7961797291,E1140N3952,2018-09-01,39.833333333333336,2.3592859088326463,Ulvenhout,83253,4630
2018,51.55025288,4.797831098,E1141N3958,2018-09-01,9.666666666666666,2.2924466542805044,Ulvenhout,83253,4630
2018,51.544466185,4.7960239741,E1139N3952,2018-09-01,40.333333333333336,2.354798394605443,Ulvenhout,83253,4630
2018,51.54705,4.80969,E1149N3955,2018-09-01,33.666666666666664,2.362685475479711,Ulvenhout,83253,4630
2018,51.55179,4.7989,E1141N3960,2018-09-01,27.666666666666668,2.334284521128021,Ulvenhout,83253,4630
2018,51.55276,4.79701,E1140N3961,2018-09-01,23.333333333333332,2.3568986194957784,Ulvenhout,83253,4630
2018,51.551463438,4.7973094311,E1140N3959,2018-09-01,15.166666666666666,2.2758839439852308,Ulvenhout,83253,4630
2018,51.55117626,4.7975458721,E1141N3959,2018-09-01,11.0,2.274317065442065,Ulvenhout,83253,4630
2018,51.548603559,4.8044429754,E1145N3956,2018-09-01,26.666666666666668,2.358480866555888,Ulvenhout,83253,4630
2018,51.548825562,4.7981573757,E1141N3957,2018-09-01,25.166666666666668,2.2900571699173544,Ulvenhout,83253,4630
2018,51.548109692,4.8071889018,E1147N3956,2018-09-01,36.0,2.444829088692998,Ulvenhout,83253,4630
2018,51.55578462,4.8003077061,E1142N3964,2018-09-01,38.166666666666664,2.513115162480829,Ulvenhout,83253,4630
2018,51.5523805,4.7968436,E1140N3961,2018-09-01,18.666666666666668,2.3568986194957784,Ulvenhout,83253,4630
2018,51.549298359,4.8003972831,E1142N3957,2018-09-01,29.0,2.330870293185223,Ulvenhout,83253,4630
2018,51.555584629,4.7996174422,E1142N3964,2018-09-01,39.0,2.513115162480829,Ulvenhout,83253,4630
2018,51.546749385,4.8091658499,E1149N3954,2018-09-01,47.166666666666664,2.337305922102561,Ulvenhout,83253,4630
2018,51.552794845,4.7962170409,E1140N3961,2018-09-01,16.333333333333332,2.3568986194957784,Ulvenhout,83253,4630
2018,51.548783394,4.8028420119,E1144N3956,2018-09-01,29.166666666666668,2.3055127323534923,Ulvenhout,83253,4630
2018,51.547069791,4.7981533377,E1141N3955,2018-09-01,17.0,2.315439098151326,Ulvenhout,83253,4630
2018,51.547758089,4.7983588754,E1141N3955,2018-09-01,17.666666666666668,2.315439098151326,Ulvenhout,83253,4630
2018,51.545490654,4.7970594628,E1140N3953,2018-09-01,35.833333333333336,2.3492503462383523,Ulvenhout,83253,4630
2018,51.555615726,4.7999792298,E1142N3964,2018-09-01,45.0,2.513115162480829,Ulvenhout,83253,4630
2018,51.554560823,4.796234667,E1140N3963,2018-09-01,35.5,2.3708232866288217,Ulvenhout,83253,4630
2018,51.543896668,4.7955891377,E1139N3951,2018-09-01,49.0,2.3646038804315825,Ulvenhout,83253,4630
2018,51.541350793,4.7955530438,E1139N3948,2018-09-01,26.666666666666668,2.4104636349095427,Ulvenhout,83253,4630
2018,51.54309,4.79532,E1139N3950,2018-09-01,34.333333333333336,2.363023336916122,Ulvenhout,83253,4630
