AntwoordKey,Antwoordoptie,Antwoordomschrijving
-1,Onbekend,Onbekend
2163,2,neutraal
2164,3,niet mee eens
2165,1,mee eens
2166,2,neutraal
2167,3,niet mee eens
2168,,
2169,,
2170,1,"Ja, mijn woning is hiervoor geschikt"
2171,2,"Ja, maar hiervoor moet wel e.e.a. verbouwd worden (bijv. traplift, instap-bad, slaapruimte beneden, verwijderen drempels"
2172,3,"Nee, mijn woning is hiervoor niet geschikt"
2173,4,Weet ik niet
2174,1,In het centrum/binnenstad
2175,2,In een dorp
2176,3,"In een drukke wijk met voorzieningen, net buiten het centrum"
2177,4,In een landelijke omgeving
2178,5,"In een rustige en groene woonwijk, net buiten het centrum"
2179,6,Wijk aan de rand van de stad
2180,7,"Anders, namelijk:"
2181,,
2182,1,"Nee, beslist niet"
2183,2,"Ja, eventueel wel"
2184,3,"Ja, zou wel willen, maar kan niets vinden"
2185,4,"Ja, beslist wel"
2186,6,"Ja, heb al andere huisvesting/woning gevonden"
2187,7,Weet (nog) niet
2188,1,Ik ben tevreden met mijn woning
2189,10,Ik ben te oud om te verhuizen
2190,11,Ik krijg de financiering bij de hypotheekverstrekker niet rond
2191,12,"Iets anders, namelijk:"
2192,2,Ik ben tevreden met mijn woonomgeving
2193,3,Ik verbouw liever
2194,4,"Ik zou wel willen verhuizen, maar ik vind mijn woonlasten te hoog bij verhuizen naar een andere woning"
2195,5,Verkoop van mijn huis is moeilijk
2196,6,Door de strengere eisen voor sociale huurwoningen kom ik alleen in aanmerking voor een duurdere huurwoning
2197,7,Vanwege restschuld op huidige woning bij verkoop
2198,8,Ik wil nog liever thuis blijven wonen
2199,9,"Ik wil dichtbij mijn werk, bedrijf of studie blijven wonen"
2200,,
2201,1,Ja
2202,2,Nee
2203,1,Eigen buurt
2204,10,Ulvenhout
2205,11,Prinsenbeek
2206,12,Teteringen
2207,13,"Buitengebied Breda (Effen-de Rith, Liesbos, landelijk gebied rondom Bavel, Ulvenhout of Prinsenbeek)"
2208,14,Oosterhout
2209,15,Etten-Leur
2210,16,Andere gemeente in de regio Breda
2211,17,Gemeente buiten de regio Breda
2212,2,"Centrum (City, Valkenberg, ChassT, Fellenoord, Schorsmolen, Station, Belcrum)"
2213,3,"Breda Noord (Geeren-Noord, Geeren-Zuid, Biesdonk, Wisselaar, Doornbos-Linie, Waterdonken)"
2214,4,"Breda Oost (Brabantpark, Heusdenhout, Zandberg, Sportpark)"
2215,5,"Breda Zuid-Oost (Blauwe Kei, Ypelaar, Overakker, Ginneken)"
2216,6,"Breda Zuid (Boeimeer, Ruitersbos)"
2217,7,"Breda West (Haagpoort, Heuvel, Tuinzigt, Princenhage, Westerpark)"
2218,8,"Haagse Beemden (Gageldonk, Kievitsloop, Kestern, Muizenberg, Heksenwiel, Overkroeten, Kroeten)"
2219,9,Bavel (incl. Nieuw Wolfslaar)
2220,1,Zelfstandig gaan wonen
2221,2,"Tussen € 414,- en € 592,-"
2222,11,Woonomgeving/woonbuurt
2223,12,Onvoldoende voorzieningen in de buurt
2224,13,Slechte dienstverlening verhuurder
2225,14,Wil dichterbij ouders/kinderen gaan wonen
2226,15,Vanwege zorg voor familielid (mantelzorg)
2227,16,Gunstige periode om woning te verkopen
2228,17,"Iets anders, namelijk:"
2229,2,Vanwege studie/werk
2230,2,"Tussen € 414,- en € 592,-"
2231,4,Gezinsuitbreiding
2232,5,Scheiding
2233,6,Vanwege onmin met de buren
2234,1,"Minder dan € 185.000,-"
2235,8,Vanwege de woning zelf
2236,9,Huidige woning niet geschikt voor ouderen
2237,,
2238,1,In het centrum/binnenstad
2239,2,In een dorp
2240,3,"In een drukke wijk met voorzieningen, net buiten het centrum"
2241,4,In een landelijke omgeving
2242,5,"In een rustige en groene woonwijk, net buiten het centrum"
2243,6,In een wijk aan de rand van de stad
2244,7,"Anders, namelijk:"
2245,8,Geen voorkeur
2246,8,Onbekend
2247,8,Onbekend
2248,99999998,Onbekend
2249,3,(vrijwel) nooit
2250,8,Onbekend
2251,3,komt voor en maakt me boos
2252,0,Nee
2253,3,komt (bijna) nooit voor
2254,3,komt (bijna) nooit voor
2255,5,helemaal niet mee eens
2256,22,Kievietslaar
2257,3,Neutraal
2258,4,weet niet/geen mening
2259,99999999,MISSING
2260,3,Woning huren van een particuliere verhuurder
2261,1,Answered
2262,99999999,MISSING
2263,3,"Ja, van mijn huisarts"
2264,2,gelijk gebleven
2265,3,"niet eens, niet oneens"
2266,3,"Ja, van mijn huisarts"
2267,2,mee eens
2268,0,Nee
2269,0,Nee
2270,4,"ja, maar niet in de eigen gemeente"
2271,6,Geen idee
2272,2,Nee
2273,1,ja
2274,4,Geen voorkeur/weet nog niet
2275,1,Ja
2276,8,Geen voorkeur
2277,8,8
2278,81,Leeftijd
2279,1,Vrijstaand
2280,10,Eenkamerwoning/studio
2281,11,"Anders, namelijk:"
2282,2,Twee onder TTn kap
2283,3,Woningen in een rij of geschakeld
2284,4,Hoekwoning
2285,5,Flatwoning/appartement zonder lift
2286,6,Flatwoning/appartement mTt lift
2287,7,Zelfstandige seniorenwoning
2288,8,Woon-zorgcomplex/verzorgingshuis/aanleunwoning
2289,9,Kamerbewoning/studentenhuisvesting
2290,,
2291,1,Koopwoning
2292,2,Huurwoning van een woningcorporatie
2293,3,Woning huren van een particuliere verhuurder
2294,4,Geen voorkeur/weet nog niet
2295,1,Bestaande woning
2296,2,Nieuwbouwwoning
2297,3,Bouwkavel zelf ontwikkelen en bouwen (particulier)
2298,4,Bouwkavel met groep ontwikkelen en bouwen (collectief)
2299,5,Geen voorkeur voor bestaand of nieuwbouw
2300,6,Kluswoning
2301,7,"Iets anders, namelijk:"
2302,8,Weet nog niet/geen voorkeur
2303,,
2304,1,helemaal mee eens
2305,2,komt soms voor
2306,2,nee
2307,4,zelden/ nooit
2308,1,Nee
2309,1,Answered
2310,4,weet (nog) niet
2311,4,"Nee, en ik weet niet of ik dit in de toekomst wel zal doen"
2312,3,"slecht, veel problemen"
2313,3,"Ja, van mijn huisarts"
2314,6,"Ja, andere hulp"
2315,,
2316,,
2317,,
2318,,
2319,,
2320,,
2321,,
2322,0,Nee
2323,,
2324,,
2325,,
2326,,
2327,,
2328,,
2329,,
2330,,
2331,,
2332,,
2333,,
2334,,
2335,,
2336,,
2337,,
2338,,
2339,,
2340,1,"ja, (bijna) geen problemen"
2341,2,"redelijk, enkele problemen"
2342,3,"slecht, veel problemen"
2343,4,niet van toepassing
2344,1,"ja, (bijna) geen problemen"
2345,2,"redelijk, enkele problemen"
2346,3,"slecht, veel problemen"
2347,4,niet van toepassing
2348,1,"ja, (bijna) geen problemen"
2349,2,"redelijk, enkele problemen"
2350,3,"slecht, veel problemen"
2351,4,niet van toepassing
2352,1,"ja, (bijna) geen problemen"
2353,2,"redelijk, enkele problemen"
2354,3,"slecht, veel problemen"
2355,4,niet van toepassing
2356,1,"ja, (bijna) geen problemen"
2357,2,"redelijk, enkele problemen"
2358,3,"slecht, veel problemen"
2359,4,niet van toepassing
2360,1,"ja, (bijna) geen problemen"
2361,2,"redelijk, enkele problemen"
2362,3,"slecht, veel problemen"
2363,4,niet van toepassing
2364,1,"ja, (bijna) geen problemen"
2365,2,"redelijk, enkele problemen"
2366,3,"slecht, veel problemen"
2367,4,niet van toepassing
2368,1,"ja, (bijna) geen problemen"
2369,2,"redelijk, enkele problemen"
2370,3,"slecht, veel problemen"
2371,4,niet van toepassing
2372,1,"ja, (bijna) geen problemen"
2373,2,"redelijk, enkele problemen"
2374,3,"slecht, veel problemen"
2375,4,niet van toepassing
2376,1,"ja, zeker"
2377,2,waarschijnlijk wel
2378,3,nee
2379,4,weet niet/niet van toepassing
2380,1,"ja, zeker"
2381,2,waarschijnlijk wel
2382,3,nee
2383,4,weet niet/niet van toepassing
2384,1,"ja, zeker"
2385,2,waarschijnlijk wel
2386,3,nee
2387,4,weet niet/niet van toepassing
2388,1,(vrijwel) altijd
2389,2,vaak wel
2390,3,soms
2391,4,nee
2392,1,(vrijwel) altijd
2393,2,vaak wel
2394,3,soms
2395,4,nee
2396,1,(vrijwel) altijd
2397,2,vaak wel
2398,3,soms
2399,4,nee
2400,1,(vrijwel) altijd
2401,2,vaak wel
2402,3,soms
2403,4,nee
2404,1,(vrijwel) altijd
2405,2,vaak wel
2406,3,soms
2407,4,nee
2408,1,(vrijwel) altijd
2409,2,vaak wel
2410,3,soms
2411,4,nee
2412,,
2413,,
2414,,
2415,,
2416,,
2417,,
2418,,
2419,,
2420,,
2421,,
2422,1,Ja
2423,2,Nee
2424,3,Weet niet/geen mening
2425,1,Ja
2426,2,Nee
2427,3,Weet niet/geen mening
2428,1,heb ik gedaan
2429,2,"nog niet gedaan, maar ben ik wel toe bereid"
2430,3,niet gedaan en wil ik ook niet doen
2431,4,weet (nog) niet
2432,1,heb ik gedaan
2433,2,"nog niet gedaan, maar ben ik wel toe bereid"
2434,3,niet gedaan en wil ik ook niet doen
2435,4,weet (nog) niet
2436,1,heb ik gedaan
2437,2,"nog niet gedaan, maar ben ik wel toe bereid"
2438,3,niet gedaan en wil ik ook niet doen
2439,4,weet (nog) niet
2440,1,heb ik gedaan
2441,2,"nog niet gedaan, maar ben ik wel toe bereid"
2442,3,niet gedaan en wil ik ook niet doen
2443,4,weet (nog) niet
2444,1,heb ik gedaan
2445,2,"nog niet gedaan, maar ben ik wel toe bereid"
2446,3,niet gedaan en wil ik ook niet doen
2447,4,weet (nog) niet
2448,1,Ja
2449,2,Nee
2450,1,Nieuwe Meidoorn
2451,10,Liesbos
2452,11,Pekhoeve
2453,12,Vianden
2454,13,Poelewei
2455,14,3 Linden
2456,15,Geeren-Noord
2457,16,Scheldestraat
2458,17,Kraaienest
2459,18,Wegwijzer
2460,19,Dobbelsteen
2461,2,Huis van de Heuvel
2462,20,Biesdonk
2463,21,Zandberg
2464,22,Kievietslaar
2465,23,De Blaker
2466,24,Zilverberk
2467,25,Geeren-Zuid (ONS)
2468,26,Toma (Batu Karang)
2469,27,Ik weet het niet
2470,3,Noorderlicht
2471,4,æt Web
2472,5,Olympia
2473,6,Beemdentil
2474,7,Belcrum
2475,8,æt Klooster
2476,9,De Koe
2477,1,(bijna) Elke dag
2478,2,(bijna) Elke week
2479,3,(bijna) Elke maand
2480,4,(bijna) Elke 3 maanden
2481,5,1 a 2 keer
2482,0,Not Answered
2483,1,Answered
2484,,
2485,0,Not Answered
2486,1,Answered
2487,0,Not Answered
2488,1,Answered
2489,0,Not Answered
2490,1,Answered
2491,0,Not Answered
2492,1,Answered
2493,0,Not Answered
2494,1,Answered
2495,0,Not Answered
2496,1,Answered
2497,0,Not Answered
2498,1,Answered
2499,0,Not Answered
2500,1,Answered
2501,1,komt vaak voor
2502,2,komt soms voor
2503,3,komt (bijna) nooit voor
2504,4,weet niet/geen mening
2505,1,komt vaak voor
2506,2,komt soms voor
2507,3,komt (bijna) nooit voor
2508,4,weet niet/geen mening
2509,1,komt vaak voor
2510,2,komt soms voor
2511,3,komt (bijna) nooit voor
2512,4,weet niet/geen mening
2513,1,komt vaak voor
2514,2,komt soms voor
2515,3,komt (bijna) nooit voor
2516,4,weet niet/geen mening
2517,1,komt vaak voor
2518,2,komt soms voor
2519,3,komt (bijna) nooit voor
2520,4,weet niet/geen mening
2521,1,komt vaak voor
2522,2,komt soms voor
2523,3,komt (bijna) nooit voor
2524,4,weet niet/geen mening
2525,1,komt vaak voor
2526,2,komt soms voor
2527,3,komt (bijna) nooit voor
2528,4,weet niet/geen mening
2529,1,komt vaak voor
2530,2,komt soms voor
2531,3,komt (bijna) nooit voor
2532,4,weet niet/geen mening
2533,1,komt vaak voor
2534,2,komt soms voor
2535,3,komt (bijna) nooit voor
2536,4,weet niet/geen mening
2537,1,komt vaak voor
2538,2,komt soms voor
2539,3,komt (bijna) nooit voor
2540,4,weet niet/geen mening
2541,1,komt vaak voor
2542,2,komt soms voor
2543,3,komt (bijna) nooit voor
2544,4,weet niet/geen mening
2545,1,komt vaak voor
2546,2,komt soms voor
2547,3,komt (bijna) nooit voor
2548,4,weet niet/geen mening
2549,1,komt vaak voor
2550,2,komt soms voor
2551,3,komt (bijna) nooit voor
2552,4,weet niet/geen mening
2553,1,komt vaak voor
2554,2,komt soms voor
2555,3,komt (bijna) nooit voor
2556,4,weet niet/geen mening
2557,1,komt vaak voor
2558,2,komt soms voor
2559,3,komt (bijna) nooit voor
2560,4,weet niet/geen mening
2561,1,komt vaak voor
2562,2,komt soms voor
2563,3,komt (bijna) nooit voor
2564,4,weet niet/geen mening
2565,1,komt vaak voor
2566,2,komt soms voor
2567,3,komt (bijna) nooit voor
2568,4,weet niet/geen mening
2569,1,komt vaak voor
2570,2,komt soms voor
2571,3,komt (bijna) nooit voor
2572,4,weet niet/geen mening
2573,1,komt vaak voor
2574,2,komt soms voor
2575,3,komt (bijna) nooit voor
2576,4,weet niet/geen mening
2577,1,Ja
2578,2,Nee
2579,3,Weet niet/geen mening
2580,1,Vaak
2581,2,Soms
2582,3,Zelden
2583,4,Weet niet/geen mening
2584,1,Ja
2585,2,Nee
2586,3,Weet niet/geen mening
2587,1,Vaak
2588,2,Soms
2589,3,Zelden
2590,4,Weet niet/geen mening
2591,1,komt vaak voor
2592,2,komt soms voor
2593,3,komt (bijna) nooit voor
2594,4,weet niet/geen mening
2595,1,komt vaak voor
2596,2,komt soms voor
2597,3,komt (bijna) nooit voor
2598,4,weet niet/geen mening
2599,1,komt vaak voor
2600,2,komt soms voor
2601,3,komt (bijna) nooit voor
2602,4,weet niet/geen mening
2603,1,komt vaak voor
2604,2,komt soms voor
2605,3,komt (bijna) nooit voor
2606,4,weet niet/geen mening
2607,1,komt vaak voor
2608,2,komt soms voor
2609,3,komt (bijna) nooit voor
2610,4,weet niet/geen mening
2611,1,komt vaak voor
2612,2,komt soms voor
2613,3,komt (bijna) nooit voor
2614,4,weet niet/geen mening
2615,1,nee
2616,2,"ja, in de eigen buurt"
2617,3,"ja, elders in de gemeente"
2618,4,"ja, maar niet in de eigen gemeente"
2619,1,nee
2620,2,"ja, in de eigen buurt"
2621,3,"ja, elders in de gemeente"
2622,4,"ja, maar niet in de eigen gemeente"
2623,1,nee
2624,2,"ja, in de eigen buurt"
2625,3,"ja, elders in de gemeente"
2626,4,"ja, maar niet in de eigen gemeente"
2627,1,nee
2628,2,"ja, in de eigen buurt"
2629,3,"ja, elders in de gemeente"
2630,4,"ja, maar niet in de eigen gemeente"
2631,1,nee
2632,2,"ja, in de eigen buurt"
2633,3,"ja, elders in de gemeente"
2634,4,"ja, maar niet in de eigen gemeente"
2635,1,nee
2636,2,"ja, in de eigen buurt"
2637,3,"ja, elders in de gemeente"
2638,4,"ja, maar niet in de eigen gemeente"
2639,1,nee
2640,2,"ja, in de eigen buurt"
2641,3,"ja, elders in de gemeente"
2642,4,"ja, maar niet in de eigen gemeente"
2643,1,nee
2644,2,"ja, in de eigen buurt"
2645,3,"ja, elders in de gemeente"
2646,4,"ja, maar niet in de eigen gemeente"
2647,1,nee
2648,2,"ja, in de eigen buurt"
2649,3,"ja, elders in de gemeente"
2650,4,"ja, maar niet in de eigen gemeente"
2651,1,nee
2652,2,"ja, in de eigen buurt"
2653,3,"ja, elders in de gemeente"
2654,4,"ja, maar niet in de eigen gemeente"
2655,1,nee
2656,2,"ja, in de eigen buurt"
2657,3,"ja, elders in de gemeente"
2658,4,"ja, maar niet in de eigen gemeente"
2659,1,nee
2660,2,"ja, in de eigen buurt"
2661,3,"ja, elders in de gemeente"
2662,4,"ja, maar niet in de eigen gemeente"
2663,1,nee
2664,2,"ja, in de eigen buurt"
2665,3,"ja, elders in de gemeente"
2666,4,"ja, maar niet in de eigen gemeente"
2667,1,ja
2668,2,nee
2669,1,ja
2670,2,nee
2671,1,ja
2672,2,nee
2673,1,ja
2674,2,nee
2675,1,ja
2676,2,nee
2677,1,ja
2678,2,nee
2679,1,ja
2680,2,nee
2681,,
2682,1,ja
2683,2,nee
2684,1,ja
2685,2,nee
2686,1,ja
2687,2,nee
2688,1,"Ja, ik heb deze goederen/diensten online gekocht of verkocht"
2689,2,"Nee, ik heb deze goederen niet online gekocht of verkocht"
2690,1,ja
2691,2,nee
2692,1,ja
2693,2,nee
2694,,
2695,1,komt niet voor
2696,2,komt voor en maakt me bang
2697,3,komt voor en maakt me boos
2698,4,komt voor en geeft me een andere emotie
2699,5,komt voor en doet me niet veel
2700,6,weet niet of het voorkomt
2701,1,komt niet voor
2702,2,komt voor en maakt me bang
2703,3,komt voor en maakt me boos
2704,4,komt voor en geeft me een andere emotie
2705,5,komt voor en doet me niet veel
2706,6,weet niet of het voorkomt
2707,1,komt niet voor
2708,2,komt voor en maakt me bang
2709,3,komt voor en maakt me boos
2710,4,komt voor en geeft me een andere emotie
2711,5,komt voor en doet me niet veel
2712,6,weet niet of het voorkomt
2713,1,komt niet voor
2714,2,komt voor en maakt me bang
2715,3,komt voor en maakt me boos
2716,4,komt voor en geeft me een andere emotie
2717,5,komt voor en doet me niet veel
2718,6,weet niet of het voorkomt
2719,1,komt niet voor
2720,2,komt voor en maakt me bang
2721,3,komt voor en maakt me boos
2722,4,komt voor en geeft me een andere emotie
2723,5,komt voor en doet me niet veel
2724,6,weet niet of het voorkomt
2725,1,komt niet voor
2726,2,komt voor en maakt me bang
2727,3,komt voor en maakt me boos
2728,4,komt voor en geeft me een andere emotie
2729,5,komt voor en doet me niet veel
2730,6,weet niet of het voorkomt
2731,1,komt niet voor
2732,2,komt voor en maakt me bang
2733,3,komt voor en maakt me boos
2734,4,komt voor en geeft me een andere emotie
2735,5,komt voor en doet me niet veel
2736,6,weet niet of het voorkomt
2737,1,komt niet voor
2738,2,komt voor en maakt me bang
2739,3,komt voor en maakt me boos
2740,4,komt voor en geeft me een andere emotie
2741,5,komt voor en doet me niet veel
2742,6,weet niet of het voorkomt
2743,1,komt niet voor
2744,2,komt voor en maakt me bang
2745,3,komt voor en maakt me boos
2746,4,komt voor en geeft me een andere emotie
2747,5,komt voor en doet me niet veel
2748,6,weet niet of het voorkomt
2749,4,Weet niet/geen mening
2750,3,Nee
2751,1,Ja
2752,,
2753,0,Not Answered
2754,1,Answered
2755,0,Not Answered
2756,1,Answered
2757,0,Not Answered
2758,1,Answered
2759,0,Not Answered
2760,1,Answered
2761,0,Not Answered
2762,1,Answered
2763,,
2764,1,Ja
2765,2,"Nee, niet in mijn eigen buurt maar wel in Breda"
2766,3,Nee
2767,4,Weet niet/geen mening
2768,,
2769,,
2770,,
2771,,
2772,,
2773,,
2774,,
2775,,
2776,,
2777,,
2778,,
2779,,
2780,,
2781,,
2782,1,1
2783,10,10
2784,2,2
2785,3,3
2786,4,4
2787,5,5
2788,6,6
2789,7,7
2790,8,8
2791,9,9
2792,1,helemaal eens
2793,2,eens
2794,3,"niet eens, niet oneens"
2795,4,oneens
2796,5,helemaal oneens
2797,6,weet niet/niet van toepassing
2798,1,helemaal eens
2799,2,eens
2800,3,"niet eens, niet oneens"
2801,4,oneens
2802,5,helemaal oneens
2803,6,weet niet/niet van toepassing
2804,1,helemaal eens
2805,2,eens
2806,3,"niet eens, niet oneens"
2807,4,oneens
2808,5,helemaal oneens
2809,6,weet niet/niet van toepassing
2810,1,helemaal eens
2811,2,eens
2812,3,"niet eens, niet oneens"
2813,4,oneens
2814,5,helemaal oneens
2815,6,weet niet/niet van toepassing
2816,1,helemaal eens
2817,2,eens
2818,3,"niet eens, niet oneens"
2819,4,oneens
2820,5,helemaal oneens
2821,6,weet niet/niet van toepassing
2822,1,helemaal eens
2823,2,eens
2824,3,"niet eens, niet oneens"
2825,4,oneens
2826,5,helemaal oneens
2827,6,weet niet/niet van toepassing
2828,1,1
2829,10,10
2830,11,weet niet/geen mening
2831,2,2
2832,3,3
2833,4,4
2834,5,5
2835,6,6
2836,7,7
2837,8,8
2838,9,9
2839,1,helemaal eens
2840,2,eens
2841,3,"niet eens, niet oneens"
2842,4,oneens
2843,5,helemaal oneens
2844,6,weet niet/geen mening
2845,1,helemaal eens
2846,2,eens
2847,3,"niet eens, niet oneens"
2848,4,oneens
2849,5,helemaal oneens
2850,6,weet niet/geen mening
2851,1,1
2852,10,10
2853,11,weet niet/geen mening
2854,2,2
2855,3,3
2856,4,4
2857,5,5
2858,6,6
2859,7,7
2860,8,8
2861,9,9
2862,1,zeer tevreden
2863,2,tevreden
2864,3,niet tevreden/niet ontevreden
2865,4,ontevreden
2866,5,zeer ontevreden
2867,6,weet niet/geen mening
2868,1,zeer tevreden
2869,2,tevreden
2870,3,niet tevreden/niet ontevreden
2871,4,ontevreden
2872,5,zeer ontevreden
2873,6,weet niet/geen mening
2874,1,zeer tevreden
2875,2,tevreden
2876,3,niet tevreden/niet ontevreden
2877,4,ontevreden
2878,5,zeer ontevreden
2879,6,weet niet/geen mening
2880,1,zeer tevreden
2881,2,tevreden
2882,3,niet tevreden/niet ontevreden
2883,4,ontevreden
2884,5,zeer ontevreden
2885,6,weet niet/geen mening
2886,1,zeer tevreden
2887,2,tevreden
2888,3,niet tevreden/niet ontevreden
2889,4,ontevreden
2890,5,zeer ontevreden
2891,6,weet niet/geen mening
2892,1,zeer tevreden
2893,2,tevreden
2894,3,niet tevreden/niet ontevreden
2895,4,ontevreden
2896,5,zeer ontevreden
2897,6,weet niet/geen mening
2898,1,zeer tevreden
2899,2,tevreden
2900,3,niet tevreden/niet ontevreden
2901,4,ontevreden
2902,5,zeer ontevreden
2903,6,weet niet/geen mening
2904,,
2905,,
2906,1,helemaal mee eens
2907,2,mee eens
2908,3,neutraal
2909,4,niet mee eens
2910,5,helemaal niet mee eens
2911,6,weet niet/geen mening
2912,1,helemaal mee eens
2913,2,mee eens
2914,3,neutraal
2915,4,niet mee eens
2916,5,helemaal niet mee eens
2917,6,weet niet/geen mening
2918,1,helemaal mee eens
2919,2,mee eens
2920,3,neutraal
2921,4,niet mee eens
2922,5,helemaal niet mee eens
2923,6,weet niet/geen mening
2924,1,helemaal mee eens
2925,2,mee eens
2926,3,neutraal
2927,4,niet mee eens
2928,5,helemaal niet mee eens
2929,6,weet niet/geen mening
2930,1,helemaal mee eens
2931,2,mee eens
2932,3,neutraal
2933,4,niet mee eens
2934,5,helemaal niet mee eens
2935,6,weet niet/geen mening
2936,1,helemaal mee eens
2937,2,mee eens
2938,3,neutraal
2939,4,niet mee eens
2940,5,helemaal niet mee eens
2941,6,weet niet/geen mening
2942,1,helemaal mee eens
2943,2,mee eens
2944,3,neutraal
2945,4,niet mee eens
2946,5,helemaal niet mee eens
2947,6,weet niet/geen mening
2948,1,helemaal mee eens
2949,2,mee eens
2950,3,neutraal
2951,4,niet mee eens
2952,5,helemaal niet mee eens
2953,6,weet niet/geen mening
2954,1,helemaal mee eens
2955,2,mee eens
2956,3,neutraal
2957,4,niet mee eens
2958,5,helemaal niet mee eens
2959,6,weet niet/geen mening
2960,1,helemaal mee eens
2961,2,mee eens
2962,3,neutraal
2963,4,niet mee eens
2964,5,helemaal niet mee eens
2965,6,weet niet/geen mening
2966,1,helemaal mee eens
2967,2,mee eens
2968,3,neutraal
2969,4,niet mee eens
2970,5,helemaal niet mee eens
2971,6,weet niet/geen mening
2972,1,helemaal mee eens
2973,2,mee eens
2974,3,neutraal
2975,4,niet mee eens
2976,5,helemaal niet mee eens
2977,6,weet niet/geen mening
2978,1,helemaal mee eens
2979,2,mee eens
2980,3,neutraal
2981,4,niet mee eens
2982,5,helemaal niet mee eens
2983,6,weet niet/geen mening
2984,1,1
2985,10,10
2986,2,2
2987,3,3
2988,4,4
2989,5,5
2990,6,6
2991,7,7
2992,8,8
2993,9,9
2994,1,verbeterd
2995,2,gelijk gebleven
2996,3,verslechterd
2997,4,weet niet/geen mening
2998,1,verbeterd
2999,2,gelijk gebleven
3000,3,verslechterd
3001,4,weet niet/geen mening
3002,1,verbeterd
3003,2,gelijk gebleven
3004,3,verslechterd
3005,4,weet niet/geen mening
3006,1,Vooruit
3007,2,Gelijk gebleven
3008,3,Achteruit
3009,4,Weet niet/geen mening
3010,1,Vooruit
3011,2,Zal gelijk blijven
3012,3,Achteruit
3013,4,Weet niet/geen mening
3014,1,1
3015,10,10
3016,2,2
3017,3,3
3018,4,4
3019,5,5
3020,6,6
3021,7,7
3022,8,8
3023,9,9
3024,1,1
3025,10,10
3026,2,2
3027,3,3
3028,4,4
3029,5,5
3030,6,6
3031,7,7
3032,8,8
3033,9,9
3034,1,1
3035,10,10
3036,2,2
3037,3,3
3038,4,4
3039,5,5
3040,6,6
3041,7,7
3042,8,8
3043,9,9
3044,1,1
3045,10,10
3046,2,2
3047,3,3
3048,4,4
3049,5,5
3050,6,6
3051,7,7
3052,8,8
3053,9,9
3054,1,Zeer positief
3055,2,Positief
3056,3,Neutraal
3057,4,Negatief
3058,5,Zeer negatief
3059,6,Geen idee
3060,,
3061,,
3062,0,Leeftijd
3063,1,Leeftijd
3064,10,Leeftijd
3065,100,Leeftijd
3066,101,Leeftijd
3067,102,Leeftijd
3068,103,Leeftijd
3069,104,Leeftijd
3070,105,Leeftijd
3071,106,Leeftijd
3072,107,Leeftijd
3073,108,Leeftijd
3074,109,Leeftijd
3075,11,Leeftijd
3076,12,Leeftijd
3077,13,Leeftijd
3078,14,Leeftijd
3079,15,Leeftijd
3080,16,Leeftijd
3081,17,Leeftijd
3082,18,Leeftijd
3083,19,Leeftijd
3084,2,Leeftijd
3085,20,Leeftijd
3086,21,Leeftijd
3087,22,Leeftijd
3088,23,Leeftijd
3089,24,Leeftijd
3090,25,Leeftijd
3091,26,Leeftijd
3092,27,Leeftijd
3093,28,Leeftijd
3094,29,Leeftijd
3095,3,Leeftijd
3096,30,Leeftijd
3097,31,Leeftijd
3098,32,Leeftijd
3099,33,Leeftijd
3100,34,Leeftijd
3101,35,Leeftijd
3102,36,Leeftijd
3103,37,Leeftijd
3104,38,Leeftijd
3105,39,Leeftijd
3106,4,Leeftijd
3107,40,Leeftijd
3108,41,Leeftijd
3109,42,Leeftijd
3110,43,Leeftijd
3111,44,Leeftijd
3112,45,Leeftijd
3113,46,Leeftijd
3114,47,Leeftijd
3115,48,Leeftijd
3116,49,Leeftijd
3117,5,Leeftijd
3118,50,Leeftijd
3119,51,Leeftijd
3120,52,Leeftijd
3121,53,Leeftijd
3122,54,Leeftijd
3123,55,Leeftijd
3124,56,Leeftijd
3125,57,Leeftijd
3126,58,Leeftijd
3127,59,Leeftijd
3128,6,Leeftijd
3129,60,Leeftijd
3130,61,Leeftijd
3131,62,Leeftijd
3132,63,Leeftijd
3133,64,Leeftijd
3134,65,Leeftijd
3135,66,Leeftijd
3136,67,Leeftijd
3137,68,Leeftijd
3138,69,Leeftijd
3139,7,Leeftijd
3140,70,Leeftijd
3141,71,Leeftijd
3142,72,Leeftijd
3143,73,Leeftijd
3144,74,Leeftijd
3145,75,Leeftijd
3146,76,Leeftijd
3147,77,Leeftijd
3148,78,Leeftijd
3149,79,Leeftijd
3150,8,Leeftijd
3151,80,Leeftijd
3152,81,Leeftijd
3153,82,Leeftijd
3154,83,Leeftijd
3155,84,Leeftijd
3156,85,Leeftijd
3157,86,Leeftijd
3158,87,Leeftijd
3159,88,Leeftijd
3160,89,Leeftijd
3161,9,Leeftijd
3162,90,Leeftijd
3163,91,Leeftijd
3164,92,Leeftijd
3165,93,Leeftijd
3166,94,Leeftijd
3167,95,Leeftijd
3168,96,Leeftijd
3169,97,Leeftijd
3170,98,Leeftijd
3171,99,Leeftijd
3172,1,Alleenstaand/alleenwonend
3173,2,Twee volwassenen met kind(eren)
3174,3,Twee volwassenen zonder kind(eren)
3175,4,ETn volwassene met kind(eren)/eenoudergezin
3176,5,Anders
3177,,
3178,1,Lagere school/basisonderwijs/geen onderwijs
3179,2,Vmbo/Mavo
3180,3,Vwo/Havo
