DatumKey,DatumDate,Datum,Italian_date,Jaar
20150101,2015-01-01 00:00:00,2015-01-01 00:00:00.000,2015-01-01 00:00:00,2015
20170101,2017-01-01 00:00:00,2017-01-01 00:00:00.000,2017-01-01 00:00:00,2017
20190101,2019-01-01 00:00:00,2019-01-01 00:00:00.000,2019-01-01 00:00:00,2019
20210101,2021-01-01 00:00:00,2021-01-01 00:00:00.000,2021-01-01 00:00:00,2021
